freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.468e+02,1.962e+01,1.562e+01,1.820e+02
1.5,1.031e+02,5.158e+01,5.500e+01,2.096e+02
3.0,3.025e+01,5.290e+01,5.879e+01,1.419e+02
4.6,2.518e+02,5.567e+01,6.419e+01,3.716e+02
6.1,9.530e+02,5.581e+01,6.987e+01,1.079e+03
7.6,1.532e+03,5.348e+01,7.205e+01,1.658e+03
9.1,2.105e+03,6.132e+01,8.493e+01,2.251e+03
10.6,2.798e+03,6.209e+01,1.002e+02,2.960e+03
12.2,3.549e+03,5.810e+01,7.494e+01,3.682e+03
13.7,4.349e+03,6.090e+01,7.201e+01,4.482e+03
15.2,5.397e+03,6.181e+01,7.412e+01,5.533e+03
16.7,6.641e+03,6.468e+01,8.777e+01,6.793e+03
18.2,7.135e+03,7.092e+01,1.215e+02,7.328e+03
19.8,7.470e+03,8.095e+01,1.197e+02,7.670e+03
21.3,8.746e+03,8.778e+01,1.232e+02,8.957e+03
22.8,1.007e+04,8.045e+01,1.719e+02,1.032e+04
24.3,1.019e+04,7.317e+01,2.984e+02,1.056e+04
25.8,8.723e+03,6.692e+01,3.296e+02,9.119e+03
27.4,7.291e+03,7.874e+01,2.128e+02,7.582e+03
28.9,6.857e+03,7.182e+01,1.443e+02,7.073e+03
30.4,6.687e+03,7.155e+01,1.147e+02,6.873e+03
31.9,6.278e+03,8.793e+01,8.829e+01,6.454e+03
33.4,6.102e+03,8.477e+01,8.237e+01,6.270e+03
35.0,6.511e+03,7.530e+01,8.776e+01,6.674e+03
36.5,7.164e+03,7.822e+01,9.221e+01,7.334e+03
38.0,8.029e+03,8.254e+01,9.895e+01,8.210e+03
39.5,9.209e+03,1.141e+02,1.279e+02,9.451e+03
41.0,1.043e+04,1.479e+02,1.495e+02,1.073e+04
42.6,1.221e+04,1.719e+02,1.697e+02,1.255e+04
44.1,1.408e+04,1.882e+02,1.897e+02,1.446e+04
45.6,1.606e+04,2.092e+02,2.265e+02,1.649e+04
47.1,1.840e+04,2.594e+02,2.750e+02,1.894e+04
48.6,2.050e+04,3.275e+02,3.507e+02,2.118e+04
50.2,2.293e+04,4.053e+02,5.121e+02,2.384e+04
51.7,2.676e+04,5.957e+02,8.204e+02,2.817e+04
53.2,3.106e+04,9.044e+02,1.347e+03,3.331e+04
54.7,3.492e+04,1.412e+03,2.349e+03,3.868e+04
56.2,4.041e+04,2.260e+03,3.867e+03,4.653e+04
57.8,4.573e+04,2.850e+03,5.045e+03,5.363e+04
59.3,4.893e+04,2.766e+03,4.308e+03,5.600e+04
60.8,5.286e+04,2.741e+03,2.005e+03,5.760e+04
62.3,5.789e+04,2.600e+03,5.894e+02,6.108e+04
63.8,6.882e+04,2.382e+03,2.444e+02,7.145e+04
65.4,8.752e+04,2.123e+03,1.773e+02,8.982e+04
66.9,1.133e+05,1.657e+03,1.763e+02,1.151e+05
68.4,1.456e+05,1.227e+03,9.456e+02,1.477e+05
69.9,1.696e+05,7.199e+02,3.448e+03,1.738e+05
71.4,1.770e+05,3.321e+02,2.420e+03,1.797e+05
73.0,2.357e+05,4.125e+02,5.948e+02,2.367e+05
74.5,3.377e+05,4.482e+02,7.948e+02,3.390e+05
76.0,4.566e+05,5.730e+02,1.400e+03,4.586e+05
77.5,6.256e+05,1.734e+03,2.307e+03,6.296e+05
79.0,8.433e+05,6.237e+03,3.616e+03,8.532e+05
80.6,1.086e+06,1.472e+04,5.109e+03,1.105e+06
82.1,1.211e+06,2.299e+04,5.444e+03,1.239e+06
83.6,1.116e+06,2.445e+04,4.911e+03,1.145e+06
85.1,7.220e+05,2.177e+04,5.291e+03,7.490e+05
86.6,3.545e+05,1.903e+04,5.975e+03,3.795e+05
88.2,1.738e+05,1.806e+04,6.451e+03,1.983e+05
89.7,1.008e+05,2.207e+04,7.677e+03,1.305e+05
91.2,7.284e+04,2.566e+04,8.607e+03,1.071e+05
92.7,5.814e+04,2.742e+04,8.750e+03,9.431e+04
94.2,4.837e+04,3.203e+04,9.355e+03,8.975e+04
95.8,4.131e+04,4.227e+04,1.123e+04,9.481e+04
97.3,3.802e+04,5.994e+04,1.418e+04,1.121e+05
98.8,3.757e+04,7.409e+04,1.581e+04,1.275e+05
100.3,3.793e+04,8.415e+04,1.598e+04,1.381e+05
101.8,3.812e+04,8.927e+04,1.432e+04,1.417e+05
103.4,3.871e+04,8.455e+04,1.075e+04,1.340e+05
104.9,3.980e+04,7.848e+04,7.849e+03,1.261e+05
106.4,3.923e+04,6.936e+04,5.426e+03,1.140e+05
107.9,3.758e+04,5.518e+04,3.492e+03,9.625e+04
109.4,3.904e+04,4.016e+04,2.030e+03,8.122e+04
111.0,4.309e+04,2.650e+04,1.206e+03,7.080e+04
112.5,4.981e+04,1.751e+04,9.156e+02,6.824e+04
114.0,5.921e+04,1.307e+04,9.141e+02,7.319e+04
115.5,6.618e+04,1.146e+04,1.079e+03,7.872e+04
117.0,7.650e+04,1.169e+04,1.591e+03,8.977e+04
118.5,9.628e+04,9.458e+03,2.191e+03,1.079e+05
120.1,1.328e+05,7.912e+03,3.403e+03,1.441e+05
121.6,1.615e+05,7.610e+03,5.689e+03,1.748e+05
123.1,1.481e+05,7.473e+03,9.568e+03,1.651e+05
124.6,1.347e+05,6.391e+03,1.374e+04,1.548e+05
126.1,1.336e+05,6.063e+03,1.550e+04,1.551e+05
127.7,1.311e+05,6.517e+03,1.498e+04,1.526e+05
129.2,9.756e+04,6.389e+03,1.325e+04,1.172e+05
130.7,6.221e+04,6.203e+03,1.141e+04,7.982e+04
132.2,4.241e+04,5.259e+03,9.525e+03,5.719e+04
133.7,1.650e+04,3.213e+03,4.421e+03,2.414e+04
135.3,7.316e+03,2.020e+03,2.331e+03,1.167e+04
136.8,6.330e+03,1.561e+03,2.111e+03,1.000e+04
138.3,5.627e+03,1.288e+03,1.993e+03,8.908e+03
139.8,4.736e+03,1.355e+03,1.673e+03,7.763e+03
141.3,4.189e+03,1.112e+03,1.437e+03,6.738e+03
142.9,4.421e+03,8.985e+02,1.334e+03,6.654e+03
144.4,5.057e+03,8.093e+02,1.316e+03,7.182e+03
145.9,6.231e+03,8.644e+02,1.326e+03,8.421e+03
147.4,7.841e+03,1.114e+03,1.328e+03,1.028e+04
148.9,9.119e+03,1.429e+03,1.329e+03,1.188e+04
150.5,1.086e+04,1.656e+03,1.327e+03,1.385e+04
152.0,1.319e+04,2.186e+03,1.487e+03,1.686e+04
153.5,1.516e+04,3.319e+03,1.680e+03,2.016e+04
155.0,1.695e+04,4.223e+03,1.857e+03,2.303e+04
156.5,1.842e+04,4.784e+03,2.084e+03,2.529e+04
158.1,1.970e+04,5.185e+03,2.242e+03,2.712e+04
159.6,2.139e+04,5.680e+03,2.504e+03,2.957e+04
161.1,2.181e+04,6.146e+03,2.707e+03,3.066e+04
162.6,1.700e+04,5.812e+03,2.297e+03,2.511e+04
164.1,1.224e+04,5.073e+03,1.773e+03,1.909e+04
165.7,1.157e+04,5.102e+03,1.722e+03,1.839e+04
167.2,8.714e+03,4.847e+03,1.701e+03,1.526e+04
168.7,5.879e+03,5.663e+03,1.592e+03,1.313e+04
170.2,4.135e+03,6.927e+03,1.315e+03,1.238e+04
171.7,2.798e+03,7.222e+03,1.011e+03,1.103e+04
173.3,2.106e+03,5.250e+03,9.562e+02,8.313e+03
174.8,2.880e+03,3.938e+03,1.010e+03,7.828e+03
176.3,4.878e+03,3.394e+03,1.216e+03,9.489e+03
177.8,4.191e+03,3.103e+03,1.221e+03,8.515e+03
179.3,1.849e+03,2.626e+03,9.543e+02,5.429e+03
180.9,1.541e+03,2.085e+03,8.677e+02,4.494e+03
182.4,1.952e+03,1.645e+03,8.786e+02,4.476e+03
183.9,2.812e+03,1.369e+03,8.800e+02,5.062e+03
185.4,4.477e+03,1.166e+03,9.427e+02,6.586e+03
186.9,7.555e+03,1.114e+03,1.086e+03,9.755e+03
188.5,1.106e+04,1.144e+03,1.263e+03,1.347e+04
190.0,1.550e+04,1.267e+03,1.583e+03,1.835e+04
191.5,1.959e+04,1.232e+03,1.879e+03,2.270e+04
193.0,2.328e+04,1.284e+03,2.136e+03,2.670e+04
194.5,2.941e+04,1.759e+03,2.526e+03,3.370e+04
196.1,3.818e+04,2.387e+03,3.174e+03,4.374e+04
197.6,3.254e+04,2.190e+03,3.147e+03,3.788e+04
199.1,1.767e+04,1.222e+03,2.069e+03,2.096e+04
