freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.921e+01,8.942e+01,2.735e+02,4.021e+02
1.5,4.102e+01,1.122e+02,1.850e+02,3.382e+02
3.0,2.534e+01,7.753e+01,4.821e+01,1.511e+02
4.5,2.614e+01,7.473e+01,3.003e+02,4.012e+02
6.1,3.000e+01,6.738e+01,1.114e+03,1.211e+03
7.6,3.179e+01,7.103e+01,1.893e+03,1.995e+03
9.1,3.192e+01,6.936e+01,2.720e+03,2.821e+03
10.6,2.833e+01,6.505e+01,3.755e+03,3.849e+03
12.1,3.117e+01,6.420e+01,4.963e+03,5.059e+03
13.6,3.069e+01,7.803e+01,6.497e+03,6.605e+03
15.2,2.845e+01,7.407e+01,8.386e+03,8.489e+03
16.7,2.784e+01,7.523e+01,1.067e+04,1.077e+04
18.2,3.376e+01,8.618e+01,1.351e+04,1.363e+04
19.7,4.069e+01,9.885e+01,1.514e+04,1.528e+04
21.2,4.390e+01,9.196e+01,1.639e+04,1.653e+04
22.7,4.113e+01,9.301e+01,1.947e+04,1.961e+04
24.3,4.897e+01,1.185e+02,2.324e+04,2.341e+04
25.8,8.379e+01,1.331e+02,2.803e+04,2.825e+04
27.3,1.475e+02,1.949e+02,3.260e+04,3.294e+04
28.8,1.502e+02,2.677e+02,3.730e+04,3.772e+04
30.3,1.358e+02,5.251e+02,4.511e+04,4.577e+04
31.8,1.563e+02,1.122e+03,5.652e+04,5.780e+04
33.4,2.108e+02,2.468e+03,7.317e+04,7.585e+04
34.9,2.817e+02,4.852e+03,8.834e+04,9.348e+04
36.4,3.404e+02,6.428e+03,9.205e+04,9.881e+04
37.9,3.957e+02,6.831e+03,9.328e+04,1.005e+05
39.4,4.340e+02,6.779e+03,9.649e+04,1.037e+05
40.9,3.846e+02,6.380e+03,9.505e+04,1.018e+05
42.5,3.026e+02,6.086e+03,9.648e+04,1.029e+05
44.0,2.562e+02,5.678e+03,1.050e+05,1.109e+05
45.5,2.820e+02,5.013e+03,1.280e+05,1.333e+05
47.0,4.352e+02,4.578e+03,1.815e+05,1.866e+05
48.5,8.974e+02,4.082e+03,2.526e+05,2.576e+05
50.0,2.298e+03,3.344e+03,3.742e+05,3.798e+05
51.6,5.013e+03,1.981e+03,5.662e+05,5.732e+05
53.1,6.500e+03,9.928e+02,5.868e+05,5.943e+05
54.6,4.641e+03,8.579e+02,4.743e+05,4.798e+05
56.1,3.000e+03,8.252e+02,3.572e+05,3.610e+05
57.6,3.341e+03,1.363e+03,2.721e+05,2.768e+05
59.1,4.613e+03,2.673e+03,2.136e+05,2.209e+05
60.7,6.436e+03,4.969e+03,1.660e+05,1.774e+05
62.2,9.033e+03,9.064e+03,1.356e+05,1.537e+05
63.7,1.506e+04,1.878e+04,1.544e+05,1.883e+05
65.2,2.696e+04,3.621e+04,2.311e+05,2.942e+05
66.7,3.901e+04,5.235e+04,2.967e+05,3.881e+05
68.2,4.541e+04,5.619e+04,3.000e+05,4.016e+05
69.8,5.694e+04,5.326e+04,3.032e+05,4.134e+05
71.3,6.951e+04,5.465e+04,2.900e+05,4.141e+05
72.8,6.929e+04,6.902e+04,2.589e+05,3.972e+05
74.3,7.441e+04,9.666e+04,3.050e+05,4.761e+05
75.8,9.742e+04,1.212e+05,3.119e+05,5.304e+05
77.3,1.080e+05,1.330e+05,2.754e+05,5.164e+05
78.9,9.855e+04,1.502e+05,2.438e+05,4.926e+05
80.4,7.894e+04,1.595e+05,2.050e+05,4.434e+05
81.9,7.290e+04,1.399e+05,1.508e+05,3.635e+05
83.4,6.949e+04,1.251e+05,1.172e+05,3.118e+05
84.9,6.639e+04,1.301e+05,1.061e+05,3.026e+05
86.4,6.504e+04,1.628e+05,1.176e+05,3.455e+05
88.0,6.304e+04,1.929e+05,1.230e+05,3.789e+05
89.5,5.786e+04,2.204e+05,1.280e+05,4.062e+05
91.0,4.803e+04,2.617e+05,1.314e+05,4.411e+05
92.5,3.786e+04,2.768e+05,1.213e+05,4.359e+05
94.0,3.064e+04,2.720e+05,1.100e+05,4.126e+05
95.5,2.517e+04,2.405e+05,1.006e+05,3.663e+05
97.1,1.944e+04,1.922e+05,1.062e+05,3.179e+05
98.6,1.578e+04,1.610e+05,1.208e+05,2.976e+05
100.1,1.668e+04,1.680e+05,1.357e+05,3.204e+05
101.6,2.037e+04,2.096e+05,1.374e+05,3.674e+05
103.1,2.509e+04,2.708e+05,1.249e+05,4.208e+05
104.6,3.067e+04,3.393e+05,1.117e+05,4.817e+05
106.2,3.515e+04,3.848e+05,9.847e+04,5.184e+05
107.7,3.725e+04,4.064e+05,8.974e+04,5.334e+05
109.2,3.893e+04,4.175e+05,8.265e+04,5.391e+05
110.7,4.438e+04,4.094e+05,7.757e+04,5.313e+05
112.2,5.904e+04,3.684e+05,7.735e+04,5.048e+05
113.7,8.053e+04,3.058e+05,8.498e+04,4.713e+05
115.3,1.007e+05,2.623e+05,9.212e+04,4.551e+05
116.8,1.154e+05,2.328e+05,9.110e+04,4.393e+05
118.3,1.253e+05,2.091e+05,8.627e+04,4.208e+05
119.8,1.290e+05,1.833e+05,7.905e+04,3.913e+05
121.3,1.302e+05,1.613e+05,7.295e+04,3.644e+05
122.8,1.295e+05,1.431e+05,6.798e+04,3.405e+05
124.4,1.262e+05,1.301e+05,6.267e+04,3.190e+05
